Total,Delayed,Cancelled,Problematic,PathName
1706,366,28,394,ABE->ATL
2,0,0,0,ABE->BHM
1610,174,26,200,ABE->CLE
930,106,14,120,ABE->CLT
494,32,6,38,ABE->CVG
1994,304,52,356,ABE->DTW
6,6,0,6,ABE->JFK
18,16,0,16,ABE->LGA
2850,728,178,906,ABE->ORD
4,2,0,2,ABE->PHL
5320,586,86,672,ABI->DFW
736,206,0,206,ABQ->AMA
2134,258,12,270,ABQ->ATL
866,138,12,150,ABQ->AUS
1092,144,2,146,ABQ->BWI
24,2,0,2,ABQ->CLE
520,64,0,64,ABQ->CVG
6156,938,20,958,ABQ->DAL
8636,1192,68,1260,ABQ->DEN
5776,916,170,1086,ABQ->DFW
1598,308,0,308,ABQ->ELP
334,56,4,60,ABQ->EWR
2022,316,34,350,ABQ->HOU
730,86,6,92,ABQ->IAD
4522,762,76,838,ABQ->IAH
4804,870,34,904,ABQ->LAS
4790,1136,14,1150,ABQ->LAX
732,110,0,110,ABQ->LBB
734,222,4,226,ABQ->MAF
1340,218,2,220,ABQ->MCI
1460,162,2,164,ABQ->MCO
1460,132,8,140,ABQ->MDW
1354,186,4,190,ABQ->MSP
2032,328,12,340,ABQ->OAK
458,102,0,102,ABQ->OKC
892,136,2,138,ABQ->ONT
1502,394,42,436,ABQ->ORD
732,216,6,222,ABQ->PDX
10530,1656,84,1740,ABQ->PHX
2068,358,8,366,ABQ->SAN
848,102,0,102,ABQ->SAT
1442,330,4,334,ABQ->SEA
1060,122,12,134,ABQ->SFO
4614,552,20,572,ABQ->SLC
932,168,2,170,ABQ->SMF
732,32,2,34,ABQ->STL
732,96,0,96,ABQ->TPA
460,60,0,60,ABQ->TUL
1438,332,0,332,ABQ->TUS
2190,448,34,482,ABY->ATL
468,164,40,204,ACK->EWR
446,150,36,186,ACK->JFK
3986,492,148,640,ACT->DFW
724,84,28,112,ACV->CEC
4,0,0,0,ACV->MRY
4686,1468,132,1600,ACV->SFO
2,0,0,0,ACV->SJC
776,52,20,72,ACV->SLC
1236,172,76,248,ACV->SMF
226,24,6,30,ACY->ATL
2,0,0,0,ACY->JFK
4,4,0,4,ACY->LGA
204,44,20,64,ADK->ANC
1412,240,86,326,ADQ->ANC
1966,496,42,538,AEX->ATL
2010,304,82,386,AEX->DFW
684,134,24,158,AEX->IAH
4760,1092,88,1180,AGS->ATL
32,10,0,10,AGS->CLT
14,6,0,6,AGS->LGA
156,64,4,68,AKN->ANC
76,42,0,42,AKN->DLG
2308,790,38,828,ALB->ATL
2,2,0,2,ALB->BOS
4594,714,34,748,ALB->BWI
2226,556,44,600,ALB->CLE
1912,320,56,376,ALB->CLT
1828,258,34,292,ALB->CVG
654,46,24,70,ALB->DCA
2026,390,18,408,ALB->DTW
1222,428,56,484,ALB->EWR
120,20,2,22,ALB->FLL
734,284,42,326,ALB->JFK
732,142,4,146,ALB->LAS
2074,316,26,342,ALB->MCO
1460,164,10,174,ALB->MDW
114,18,10,28,ALB->MSP
3260,784,94,878,ALB->ORD
898,160,30,190,ALB->PHL
2,0,0,0,ALB->SBN
782,66,4,70,ALB->TPA
646,54,110,164,ALO->MSP
732,20,2,22,AMA->ABQ
5338,730,82,812,AMA->DAL
1458,190,4,194,AMA->DEN
5112,964,134,1098,AMA->DFW
1618,242,34,276,AMA->IAH
732,132,0,132,AMA->LAS
2,2,0,2,AMA->TUL
204,58,20,78,ANC->ADK
1412,144,78,222,ANC->ADQ
232,70,4,74,ANC->AKN
230,60,2,62,ANC->ATL
2070,344,52,396,ANC->BET
724,226,2,228,ANC->CDV
180,54,0,54,ANC->CVG
902,168,10,178,ANC->DEN
306,96,4,100,ANC->DFW
156,14,8,22,ANC->DLG
192,28,0,28,ANC->DTW
6434,1012,76,1088,ANC->FAI
472,90,0,90,ANC->HNL
414,116,0,116,ANC->IAH
2326,482,4,486,ANC->JNU
474,94,6,100,ANC->LAS
476,72,4,76,ANC->LAX
1652,316,0,316,ANC->MSP
54,6,0,6,ANC->OGG
730,114,14,128,ANC->OME
1122,224,12,236,ANC->ORD
1450,202,18,220,ANC->OTZ
1152,156,4,160,ANC->PDX
732,142,6,148,ANC->PHX
726,132,10,142,ANC->SCC
12514,2074,188,2262,ANC->SEA
362,90,10,100,ANC->SFO
956,80,4,84,ANC->SLC
32,8,4,12,ASE->ATL
7984,1642,664,2306,ASE->DEN
2,0,2,2,ASE->GJT
668,214,54,268,ASE->LAX
2,0,0,0,ASE->MSN
664,290,94,384,ASE->ORD
218,28,50,78,ASE->PHX
2,0,0,0,ASE->RFD
124,58,16,74,ASE->SFO
918,212,88,300,ASE->SLC
1704,380,16,396,ATL->ABE
2128,570,12,582,ATL->ABQ
2190,554,28,582,ATL->ABY
226,48,6,54,ATL->ACY
1964,444,40,484,ATL->AEX
4762,1126,80,1206,ATL->AGS
2306,700,28,728,ATL->ALB
230,74,0,74,ATL->ANC
32,14,0,14,ATL->ASE
1484,370,26,396,ATL->ATW
4510,1330,68,1398,ATL->AUS
3872,862,50,912,ATL->AVL
1168,342,24,366,ATL->AVP
4280,796,60,856,ATL->BDL
540,182,18,200,ATL->BGR
5742,1290,86,1376,ATL->BHM
5018,1184,82,1266,ATL->BMI
6192,1368,96,1464,ATL->BNA
82,38,0,38,ATL->BOI
11980,2830,148,2978,ATL->BOS
1848,408,26,434,ATL->BQK
5330,1442,86,1528,ATL->BTR
1000,286,10,296,ATL->BTV
7156,1542,124,1666,ATL->BUF
11956,2690,90,2780,ATL->BWI
120,32,2,34,ATL->BZN
4988,1222,62,1284,ATL->CAE
7804,1754,102,1856,ATL->CAK
4164,1008,84,1092,ATL->CHA
1572,346,30,376,ATL->CHO
8984,1864,144,2008,ATL->CHS
714,138,12,150,ATL->CID
5730,1464,140,1604,ATL->CLE
13440,3352,272,3624,ATL->CLT
3592,860,62,922,ATL->CMH
1178,424,10,434,ATL->COS
10,2,0,2,ATL->CRP
2860,570,28,598,ATL->CRW
2962,756,58,814,ATL->CSG
5620,1270,82,1352,ATL->CVG
4826,1110,72,1182,ATL->DAB
8744,1824,112,1936,ATL->DAY
14578,2760,330,3090,ATL->DCA
11452,2838,56,2894,ATL->DEN
19694,4788,398,5186,ATL->DFW
2794,702,32,734,ATL->DHN
2228,534,18,552,ATL->DSM
11224,2454,108,2562,ATL->DTW
220,26,0,26,ATL->EGE
1150,280,8,288,ATL->ELP
2300,526,50,576,ATL->EVV
1582,298,20,318,ATL->EWN
16056,5402,446,5848,ATL->EWR
1948,662,26,688,ATL->EYW
4346,1064,54,1118,ATL->FAY
50,12,0,12,ATL->FCA
15330,3678,34,3712,ATL->FLL
1228,238,18,256,ATL->FLO
6264,1404,72,1476,ATL->FNT
270,76,2,78,ATL->FSD
1264,276,12,288,ATL->FSM
2056,502,28,530,ATL->FWA
4128,862,68,930,ATL->GNV
6882,1536,110,1646,ATL->GPT
186,66,4,70,ATL->GRB
1284,272,14,286,ATL->GRK
2704,604,34,638,ATL->GRR
5732,1466,118,1584,ATL->GSO
4900,1038,128,1166,ATL->GSP
1928,370,32,402,ATL->GTR
4,4,0,4,ATL->GUC
214,58,0,58,ATL->HDN
1672,468,52,520,ATL->HHH
1274,436,0,436,ATL->HNL
7186,1618,164,1782,ATL->HOU
4310,896,86,982,ATL->HPN
5254,1130,50,1180,ATL->HSV
10618,2308,256,2564,ATL->IAD
10536,2420,212,2632,ATL->IAH
6292,1578,62,1640,ATL->ICT
3992,976,44,1020,ATL->ILM
7034,1620,50,1670,ATL->IND
428,110,12,122,ATL->ISP
236,60,4,64,ATL->JAC
5388,1308,78,1386,ATL->JAN
11312,2130,122,2252,ATL->JAX
3830,1444,32,1476,ATL->JFK
9532,2864,26,2890,ATL->LAS
1088,212,4,216,ATL->LAW
10812,3604,30,3634,ATL->LAX
4426,1006,88,1094,ATL->LEX
1990,448,24,472,ATL->LFT
21012,6774,820,7594,ATL->LGA
5054,1282,66,1348,ATL->LIT
370,52,0,52,ATL->LWB
1250,252,18,270,ATL->LYH
8280,1856,54,1910,ATL->MCI
1304,316,32,348,ATL->MCN
19226,4418,64,4482,ATL->MCO
3578,858,36,894,ATL->MDT
6512,1668,98,1766,ATL->MDW
1348,236,18,254,ATL->MEI
9732,2094,176,2270,ATL->MEM
18,6,0,6,ATL->MFE
5026,1066,36,1102,ATL->MGM
1390,470,28,498,ATL->MHT
13256,2886,144,3030,ATL->MIA
7220,1594,144,1738,ATL->MKE
4000,1016,74,1090,ATL->MLB
5180,1268,72,1340,ATL->MLI
1966,462,34,496,ATL->MLU
4448,1028,80,1108,ATL->MOB
768,178,18,196,ATL->MSN
10736,2456,78,2534,ATL->MSP
9390,1970,174,2144,ATL->MSY
74,22,2,24,ATL->MTJ
3706,1102,80,1182,ATL->MYR
2356,520,36,556,ATL->OAJ
180,52,0,52,ATL->OAK
3766,1102,40,1142,ATL->OKC
3460,970,30,1000,ATL->OMA
1592,472,8,480,ATL->ONT
15354,4392,582,4974,ATL->ORD
5568,1376,70,1446,ATL->ORF
8526,2118,30,2148,ATL->PBI
2190,584,16,600,ATL->PDX
5096,1344,92,1436,ATL->PFN
8316,1748,116,1864,ATL->PHF
13830,3458,234,3692,ATL->PHL
9206,2404,62,2466,ATL->PHX
1244,322,24,346,ATL->PIA
9110,1972,96,2068,ATL->PIT
8858,1906,110,2016,ATL->PNS
2778,798,42,840,ATL->PVD
1808,554,32,586,ATL->PWM
10822,2228,90,2318,ATL->RDU
9064,1772,122,1894,ATL->RIC
334,108,2,110,ATL->RNO
3464,658,68,726,ATL->ROA
4978,1236,70,1306,ATL->ROC
8386,1686,40,1726,ATL->RSW
5714,1724,20,1744,ATL->SAN
6478,1786,44,1830,ATL->SAT
7784,1492,130,1622,ATL->SAV
2076,476,46,522,ATL->SBN
242,40,10,50,ATL->SCE
5508,1366,88,1454,ATL->SDF
5148,1402,10,1412,ATL->SEA
6924,2222,24,2246,ATL->SFO
2342,498,32,530,ATL->SGF
3632,850,32,882,ATL->SHV
1280,434,2,436,ATL->SJC
3748,792,8,800,ATL->SJU
5720,1616,18,1634,ATL->SLC
1364,420,4,424,ATL->SMF
2922,738,18,756,ATL->SNA
6652,1538,64,1602,ATL->SRQ
7916,1934,116,2050,ATL->STL
902,174,4,178,ATL->STT
134,60,2,62,ATL->STX
3234,748,26,774,ATL->SWF
2838,794,38,832,ATL->SYR
4968,1170,54,1224,ATL->TLH
238,42,8,50,ATL->TOL
14622,3148,82,3230,ATL->TPA
3618,752,82,834,ATL->TRI
3962,1094,28,1122,ATL->TUL
18,0,0,0,ATL->TUP
1336,450,6,456,ATL->TUS
